run_id,optimizer_model,learner_model,iter,passed,failed,errors,bad,best_bad,t_gen_s,t_pytest_s,t_parse_s,t_prompt_s,t_llm_s,t_total_s,merged_rules_chars,failed_tests
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,1,8,3,0,3,3,193.568151,5.674965,0.000685,2.6e-05,9.223573,208.470253,2000,tests/test_02_nearest_free.py::test_nearest_free_returns_free;tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,2,8,3,0,3,3,173.726276,2.781149,0.000741,1.6e-05,9.499696,186.011694,2253,tests/test_02_nearest_free.py::test_nearest_free_returns_free;tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,3,7,4,0,4,3,168.062314,2.552194,0.000803,2.1e-05,10.425967,181.047361,1698,tests/test_00_static_contract.py::test_allowed_imports_only;tests/test_02_nearest_free.py::test_nearest_free_returns_free;tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,4,8,3,0,3,3,170.065466,11.345564,0.00074,2.1e-05,9.002762,190.419155,1644,tests/test_02_nearest_free.py::test_nearest_free_returns_free;tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,5,7,4,0,4,3,187.386887,16.802741,0.000756,2.1e-05,10.025428,214.220937,1367,tests/test_03_planner_api_and_validity.py::test_plan_path_returns_pixel_path;tests/test_04_episode_schema.py::test_episode_schema;tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,6,9,2,0,2,2,229.102138,2.575975,0.000859,2.7e-05,5.302328,236.98555,834,tests/test_00_static_contract.py::test_allowed_imports_only;tests/test_02_nearest_free.py::test_nearest_free_returns_free
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,7,8,3,0,3,2,171.05973,3.417053,0.000743,2e-05,7.651091,182.131514,1625,tests/test_02_nearest_free.py::test_nearest_free_returns_free;tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,1,13,0,0,0,0,141.593536,2.185882,0.000678,0.0,0.0,143.780981,82,tests/test_07_regressions_and_contracts.py::test_no_scipy;tests/test_07_regressions_and_contracts.py::test_no_raise_runtimeerror
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,1,11,2,0,2,2,194.369665,9.889777,0.000948,3e-05,11.129067,215.392435,1742,tests/test_05_episode_progress.py::test_episode_makes_progress;tests/test_06_episode_reach_goal.py::test_episode_reaches_goal;tests/test_07_regressions_and_contracts.py::test_no_scipy;tests/test_07_regressions_and_contracts.py::test_no_raise_runtimeerror
gpt-4.1__opt_gpt-5.2,gpt-5.2,gpt-4.1,2,13,0,0,0,0,93.348728,1.045158,0.000486,0.0,0.0,94.394855,1742,tests/test_07_regressions_and_contracts.py::test_no_scipy;tests/test_07_regressions_and_contracts.py::test_no_raise_runtimeerror
